# Model list: 380 models
# Format: model_id tri_start tri_end name
369 4496198 4496758 n0_lr0_agg_nomerge_sign_bracket001_color_0
370 4496758 4497270 n0_lr0_agg_nomerge_sign_streets001_color_0
371 4497270 4499070 n0_lr0_agg_prop_dust_cart_color_0
372 4499070 4501198 n0_lr0_agg_prop_dust_kasbah_rooftrim_01_0
373 4501198 4501782 n0_lr0_agg_prop_dust_satellite_dish_color_0
374 4501782 4501864 n0_lr0_agg_prop_dust_wall_vents_01_0
375 4501864 4504004 n0_lr0_agg_prop_dust_window_frame_wood_01_0
376 4504004 4504060 n0_lr0_agg_prop_dust_windows_01_0
377 4504060 4504270 n0_lr0_agg_prop_dust_wire_attachments_01_0
378 4504270 4506674 n0_lr0_agg_prop_dust_wires_01_0
379 4506674 4507274 n0_lr0_agg_prop_hr_dust_kasbah_merlon002_color_0
